                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2114,                 1.1408,                    1.6,                0.47825,                0.66494,                0.63182,                0.37562,                 1.7884,                 2.1531,                 2.2171,             0.00029612,             0.00029612,             0.00029612
                     36,                 1.1653,                 1.0996,                 1.5644,                0.55584,                0.60238,                0.62494,                0.38927,                 1.7673,                  2.076,                 2.1817,             0.00026638,             0.00026638,             0.00026638
                     37,                 1.1209,                 1.0096,                 1.4976,                 0.5771,                0.62506,                0.63607,                0.38407,                 1.7966,                  2.014,                 2.1998,             0.00023781,             0.00023781,             0.00023781
                     38,                 1.1351,                0.95409,                 1.5264,                0.62245,                0.61815,                0.64865,                0.39519,                 1.8032,                 2.0941,                  2.206,             0.00021051,             0.00021051,             0.00021051
                     39,                 1.0903,                0.95901,                 1.4961,                0.66257,                0.59629,                0.65236,                0.39339,                 1.7636,                 2.0259,                 2.1654,             0.00018459,             0.00018459,             0.00018459
                     40,                 1.1014,                0.93277,                 1.4767,                0.63293,                0.60715,                0.64874,                0.39983,                 1.7562,                 2.0191,                 2.1758,             0.00016016,             0.00016016,             0.00016016
                     41,                 1.0058,                0.86889,                 1.4218,                0.66319,                0.61779,                0.65914,                0.41517,                 1.7695,                 2.1874,                 2.1791,             0.00013732,             0.00013732,             0.00013732
                     42,                 1.0169,                 0.9049,                 1.4252,                0.65108,                0.63361,                0.66798,                 0.4127,                 1.7408,                  1.991,                 2.1575,             0.00011614,             0.00011614,             0.00011614
                     43,                0.98267,                0.85115,                 1.3969,                0.62594,                 0.6366,                 0.6809,                0.41376,                 1.7629,                 1.9989,                 2.1709,             9.6721e-05,             9.6721e-05,             9.6721e-05
                     44,                0.97208,                0.82766,                 1.3966,                0.65733,                0.61585,                0.68271,                0.42211,                 1.7317,                 1.9314,                 2.1405,             7.9135e-05,             7.9135e-05,             7.9135e-05
                     45,                0.98212,                0.81608,                 1.3871,                0.63727,                0.61975,                 0.6641,                0.41057,                 1.7278,                 1.9798,                 2.1399,              6.345e-05,              6.345e-05,              6.345e-05
                     46,                 0.9719,                0.83505,                 1.4036,                0.65606,                0.63634,                 0.6722,                0.42598,                 1.7393,                 1.9723,                 2.1485,             4.9729e-05,             4.9729e-05,             4.9729e-05
                     47,                0.96609,                0.79305,                 1.3849,                0.70243,                0.61081,                 0.6751,                0.42649,                 1.7492,                 2.0027,                 2.1574,             3.8026e-05,             3.8026e-05,             3.8026e-05
                     48,                  0.949,                0.76373,                 1.3762,                0.66053,                0.62737,                0.67588,                0.42034,                 1.7488,                 1.9885,                 2.1555,             2.8388e-05,             2.8388e-05,             2.8388e-05
                     49,                0.91502,                0.84491,                 1.3348,                0.70592,                 0.6232,                 0.6856,                 0.4294,                 1.7417,                 1.9677,                 2.1502,             2.0851e-05,             2.0851e-05,             2.0851e-05
                     50,                0.92764,                0.73894,                 1.3469,                0.71468,                0.61788,                0.68271,                0.43024,                 1.7438,                 1.9798,                 2.1522,             1.5446e-05,             1.5446e-05,             1.5446e-05
